Title,English Name,Type,Episodes,Genres,Ranked,Aired,Streaming Platforms,Rating
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,,OVA,1.0,,,2005-2005,,7.84
K-On!: Live House!,,Special,1.0,,,2010-2010,,7.84
Yume-iro Pâtissière,,TV,5.0,,,2009-2009,,7.84
Soul Eater,,TV,5.0,,,2008-2008,,7.84
Umibe no Étranger,,Movie,1.0,,,2020-2020,,7.84
Hibike! Euphonium Movie 2: Todoketai Melody,,Movie,1.0,,,2017-2017,,7.84
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,,Movie,1.0,,,2013-2013,,7.84
Tiger & Bunny,,TV,2.0,,,2011-2011,,7.84
Durarara!! Specials,,Special,2.0,,,2010-2010,,7.84
Dead Dead Demons Dededede Destruction (ONA),,ONA,1.0,,,2024-2024,,7.84
Hoozuki no Reitetsu OVA,,OVA,4.0,,,2015-2015,,7.84
Uchouten Kazoku,,TV,1.0,,,2013-2013,,7.83
Tteotda Keunyeo!!,,ONA,5.0,,,2003-2003,,7.83
91 Days,,TV,1.0,,,2016-2016,,7.83
Tsuki ga Michibiku Isekai Douchuu 2nd Season,,TV,2.0,,,2024-2024,,7.83
Tokyo Revengers: Tenjiku-hen,,TV,1.0,,,2023-2023,,7.83
Jibaku Shounen Hanako-kun,,TV,1.0,,,2020-2020,,7.83
IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,,Movie,2.0,,,2023-2023,,7.83
Hug tto! Precure,,TV,4.0,,,2018-2018,,7.83
Haikyuu!! Riku vs. Kuu,,OVA,2.0,,,2020-2020,,7.83
Dance Dance Danseur,,TV,1.0,,,2022-2022,,7.83
Hanasaku Iroha Movie: Home Sweet Home,,Movie,1.0,,,2013-2013,,7.83
5-toubun no Hanayome Movie,,Movie,1.0,,,2022-2022,,7.83
Michiko to Hatchin,,TV,2.0,,,2008-2008,,7.83
Kizumonogatari: Koyomi Vamp,,Movie,1.0,,,2024-2024,,7.83
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,,OVA,1.0,,,2016-2016,,7.83
Seitokai Yakuindomo Movie,,Movie,1.0,,,2017-2017,,7.83
Owarimonogatari 2nd Season Recaps,,TV,,,,2017-2017,,7.83
Seihou Bukyou Outlaw Star,,TV,2.0,,,1998-1998,,7.83
Id:Invaded,,TV,1.0,,,2020-2020,,7.82
Hidamari Sketch x 365,,TV,1.0,,,2008-2008,,7.82
Haikyuu!! (OVA),,OVA,1.0,,,2020-2020,,7.82
Mairimashita! Iruma-kun 3rd Season,,TV,2.0,,,2022-2022,,7.82
Grisaia no Meikyuu: Caprice no Mayu 0,,TV,,,,2015-2015,,7.82
Gekkan Shoujo Nozaki-kun,,TV,1.0,,,2014-2014,,7.82
Enen no Shouboutai: Ni no Shou,,TV,2.0,,,2020-2020,,7.82
Danshi Koukousei no Nichijou Specials,,Special,6.0,,,2012-2012,,7.82
Break Blade Movie 4: Sanka no Chi,,Movie,1.0,,,2010-2010,,7.82
Akachan to Boku,,TV,3.0,,,1996-1996,,7.82
Sekaiichi Hatsukoi 2,,TV,1.0,,,2011-2011,,7.82
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,,TV,1.0,,,2023-2023,,7.82
One Piece Film: Red,,Movie,1.0,,,2022-2022,,7.82
Gungrave,,TV,2.0,,,2003-2003,,7.82
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,,TV,1.0,,,2024-2024,,7.82
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,,Movie,1.0,,,2016-2016,,7.82
Tanaka-kun wa Itsumo Kedaruge,,TV,1.0,,,2016-2016,,7.82
Kidou Senshi Gundam: Senkou no Hathaway,,Movie,1.0,,,2021-2021,,7.82
Shingeki no Kyojin: Lost Girls,,OVA,3.0,,,2017-2017,,7.82
Somali to Mori no Kamisama,,TV,1.0,,,2020-2020,,7.82
Suzumiya Haruhi no Yuuutsu,,TV,1.0,,,2006-2006,,7.82
Shanhe Jian Xin,,ONA,1.0,,,2021-2021,,7.82
Tentai Senshi Sunred 2nd Season,,TV,2.0,,,2009-2009,,7.82
Uma Musume: Pretty Derby - Road to the Top,,ONA,4.0,,,2023-2023,,7.82
Yuusha-Ou GaoGaiGar,,TV,4.0,,,1997-1997,,7.82
Kara no Kyoukai Movie 4: Garan no Dou,,Movie,1.0,,,2008-2008,,7.82
Ojamajo Doremi Na-i-sho,,OVA,1.0,,,2004-2004,,7.81
Seto no Hanayome OVA,,OVA,2.0,,,2008-2008,,7.81
Oomuro-ke: Dear Sisters,,Movie,1.0,,,2024-2024,,7.81
Wanmei Shijie,,ONA,1.0,,,2021-2021,,7.81
New Initial D Movie: Legend 2 - Tousou,,Movie,1.0,,,2015-2015,,7.81
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,,Special,1.0,,,2022-2022,,7.81
Little Witch Academia (TV),,TV,2.0,,,2017-2017,,7.81
Liang Bu Yi 2nd Season,,ONA,2.0,,,2022-2022,,7.81
Yuru Yuri♪♪,,TV,1.0,,,2012-2012,,7.81
Yoru no Kurage wa Oyogenai,,TV,1.0,,,2024-2024,,7.81
Working'!!,,TV,1.0,,,2011-2011,,7.81
Capeta,,TV,5.0,,,2005-2005,,7.81
Tasogare Otome x Amnesia,,TV,1.0,,,2012-2012,,7.81
Sonny Boy,,TV,1.0,,,2021-2021,,7.81
Goku Sayonara Zetsubou Sensei,,OVA,3.0,,,2008-2008,,7.81
Bungou Stray Dogs,,TV,1.0,,,2016-2016,,7.81
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,,Movie,1.0,,,2015-2015,,7.81
Tsue to Tsurugi no Wistoria,,TV,1.0,,,2024-2024,,7.81
The Eminence in Shadow,,,,,,2022-2022,,7.8
Whisper of the Heart,,,,,,1995-1995,,7.8
Hidamari Sketch x ☆☆☆ Specials,,Special,2.0,,,2010-2010,,7.8
InuYasha Movie 3: Tenka Hadou no Ken,,Movie,1.0,,,2003-2003,,7.8
Shadows House,,TV,1.0,,,2021-2021,,7.8
Shingeki no Kyojin Movie 1: Guren no Yumiya,,Movie,1.0,,,2014-2014,,7.8
To the Forest of Firefly Lights,,,,,,2011-2011,,7.8
Slayers Try,,TV,2.0,,,1997-1997,,7.8
The Rising of the Shield Hero,,,,,,2019-2019,,7.8
The Wind Rises,,,,,,2013-2013,,7.8
Kimi ni Todoke: From Me to You,,,,,,2009-2009,,7.8
Konosuba: God's Blessing on This Wonderful World!,,,,,,2016-2016,,7.8
Ninja Scroll,,,,,,1993-1993,,7.8
Grand Blue Dreaming,,,,,,2018-2018,,7.8
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,,,,,,2019-2019,,7.8
My Hero Academia: Heroes Rising,,,,,,2019-2019,,7.8
Tensei shitara Slime Datta Ken 3rd Season,,TV,2.0,,,2024-2024,,7.8
Yamada-kun to Lv999 no Koi wo Suru,,TV,1.0,,,2023-2023,,7.8
Cowboy Bebop: The Movie,,,,,,2001-2001,,7.8
A Sign of Affection,,,,,,2024-2024,,7.8
When They Cry,,,,,,2006-2006,,7.8
Free! Movie 5: The Final Stroke - Kouhen,,Movie,1.0,,,2022-2022,,7.8
Flanders no Inu (Movie),,Movie,1.0,,,1997-1997,,7.8
Eikoku Koi Monogatari Emma: Molders-hen,,TV,1.0,,,2007-2007,,7.8
Magi: Sinbad no Bouken,,OVA,5.0,,,2014-2014,,7.8
Overlord,,TV,1.0,,,2015-2015,,7.8
Little Witch Academia,,Movie,1.0,,,2013-2013,,7.8
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,,,,,,2003-2003,,7.8
Jungle wa Itsumo Hare nochi Guu,,TV,2.0,,,2001-2001,,7.8
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,,Special,1.0,,,2022-2022,,7.8
Kokoro ga Sakebitagatterunda.,,Movie,1.0,,,2015-2015,,7.8
Digimon Adventure: Bokura no War Game!,,Movie,1.0,,,2000-2000,,7.8
Lupin III: The First,,Movie,1.0,,,2019-2019,,7.8
Lupin the IIIrd: Jigen Daisuke no Bohyou,,Movie,1.0,,,2014-2014,,7.8
Lucky☆Star: Original na Visual to Animation,,OVA,1.0,,,2008-2008,,7.8
Mahoujin Guruguru (2017),,TV,2.0,,,2017-2017,,7.8
Blue Period,,TV,1.0,,,2021-2021,,7.8
Crayon Shin-chan,,TV,,,,1992-1992,,7.8
City Hunter 3,,TV,1.0,,,1989-1989,,7.8
Meitantei Conan Movie 08: Ginyoku no Time Travel Recap,,TV,,,,2004-2004,,7.8
Break Blade Movie 5: Shisen no Hate,,Movie,1.0,,,2011-2011,,7.8
Baby Steps,,TV,2.0,,,2014-2014,,7.8
Planetarian: Hoshi no Hito,,Movie,1.0,,,2016-2016,,7.8
New Initial D Movie: Legend 1 - Kakusei,,Movie,1.0,,,2014-2014,,7.8
Go! Princess Precure,,TV,5.0,,,2015-2015,,7.79
Gochuumon wa Usagi desu ka?? Dear My Sister,,Movie,1.0,,,2017-2017,,7.79
Igano Kabamaru,,TV,2.0,,,1983-1983,,7.79
Inu-Ou,,Movie,1.0,,,2022-2022,,7.79
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,,TV,,,,1993-1993,,7.79
The Last: Naruto the Movie,,Movie,1.0,,,2014-2014,,7.79
Akage no Anne,,TV,5.0,,,1979-1979,,7.79
Emiya-san Chi no Kyou no Gohan,,ONA,1.0,,,2018-2018,,7.79
Isekai Ojisan,,TV,1.0,,,2022-2022,,7.79
Romantic Killer,,ONA,1.0,,,2022-2022,,7.79
Tamayura: Sotsugyou Shashin Part 3 - Akogare,,Movie,1.0,,,2015-2015,,7.79
Aggressive Retsuko (ONA) 3rd Season,,ONA,1.0,,,2020-2020,,7.79
Saint☆Oniisan (Movie),,Movie,1.0,,,2013-2013,,7.79
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,,Special,1.0,,,2010-2010,,7.79
Taishou Otome Otogibanashi,,TV,1.0,,,2021-2021,,7.79
Meitantei Conan Movie 09: Suihei Senjou no Strategy,,Movie,1.0,,,2005-2005,,7.79
Meitantei Conan Movie 07: Meikyuu no Crossroad,,Movie,1.0,,,2003-2003,,7.79
Maria-sama ga Miteru 3rd,,OVA,5.0,,,2006-2006,,7.79
Kuroko no Basket: Tip Off,,Special,1.0,,,2013-2013,,7.79
Jormungand,,TV,1.0,,,2012-2012,,7.79
Yuukoku no Moriarty OVA,,OVA,2.0,,,2022-2022,,7.79
Wan Sheng Jie 4,,ONA,1.0,,,2023-2023,,7.79
Wu Dong Qian Kun 4th Season,,ONA,1.0,,,2023-2023,,7.79
Wolf's Rain,,TV,2.0,,,2003-2003,,7.79
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,,TV,1.0,,,2018-2018,,7.79
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,,TV,1.0,,,2023-2023,,7.78
Mind Game,,Movie,1.0,,,2004-2004,,7.78
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,,Movie,1.0,,,2017-2017,,7.78
Chuan Shu Zijiu Zhinan,,ONA,1.0,,,2020-2020,,7.78
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,,OVA,1.0,,,2009-2009,,7.78
Coquelicot-zaka kara,,Movie,1.0,,,2011-2011,,7.78
Bishoujo Senshi Sailor Moon Cosmos Movie,,Movie,2.0,,,2023-2023,,7.78
Digimon Adventure,,TV,5.0,,,1999-1999,,7.78
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,,OVA,7.0,,,1992-1992,,7.78
"Haikyuu!! vs. ""Akaten""",,OVA,1.0,,,2016-2016,,7.78
Heike Monogatari,,TV,1.0,,,2022-2022,,7.78
Aikatsu! 10th Story: Mirai e no Starway (2023),,Movie,1.0,,,2023-2023,,7.78
Meitantei Conan Movie 12: Senritsu no Full Score,,Movie,1.0,,,2008-2008,,7.78
Seikai no Senki II,,TV,1.0,,,2001-2001,,7.78
Macross F Movie 1: Itsuwari no Utahime,,Movie,1.0,,,2009-2009,,7.78
Last Exile,,TV,2.0,,,2003-2003,,7.78
Innocence,,Movie,1.0,,,2004-2004,,7.78
Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,,ONA,1.0,,,2021-2021,,7.78
Shin Kidou Senki Gundam Wing: Endless Waltz Tokubetsu-hen,,Movie,1.0,,,1998-1998,,7.78
Shingeki no Kyojin: Chronicle,,Movie,1.0,,,2020-2020,,7.78
Kekkai Sensen & Beyond,,TV,1.0,,,2017-2017,,7.78
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,,Movie,1.0,,,2019-2019,,7.78
Jungle wa Itsumo Hare nochi Guu Deluxe,,OVA,6.0,,,2002-2002,,7.78
Jin-Rou,,Movie,1.0,,,2000-2000,,7.78
Psycho-Pass 3: First Inspector,,ONA,3.0,,,2020-2020,,7.78
Lupin III: Part II,,TV,1.0,,,1977-1977,,7.77
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,TV,3.0,,,1996-1996,,7.77
Hadashi no Gen,,Movie,1.0,,,1983-1983,,7.77
Captain Tsubasa,,TV,1.0,,,1983-1983,,7.77
Yuru Yuri Nachuyachumi!+,,TV,,,,2015-2015,,7.77
Wind Breaker,,TV,1.0,,,2024-2024,,7.77
Turn A Gundam,,TV,5.0,,,1999-1999,,7.77
Tomo-chan wa Onnanoko!,,TV,1.0,,,2023-2023,,7.77
"Tadaima, Okaeri",,TV,1.0,,,2024-2024,,7.77
Magic Kaito,,TV,,,,2010-2010,,7.77
Hoozuki no Reitetsu,,TV,1.0,,,2014-2014,,7.77
Gochuumon wa Usagi desu ka??,,TV,1.0,,,2015-2015,,7.77
Ginga Tetsudou 999,,TV,1.0,,,1978-1978,,7.77
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",,Special,1.0,,,2009-2009,,7.77
Break Blade Movie 3: Kyoujin no Ato,,Movie,1.0,,,2010-2010,,7.77
Beastars 2nd Season,,TV,1.0,,,2021-2021,,7.77
Seitokai Yakuindomo Movie 2,,Movie,1.0,,,2021-2021,,7.77
Saiyuuki Gaiden,,OVA,3.0,,,2011-2011,,7.77
Tentai Senshi Sunred,,TV,2.0,,,2008-2008,,7.76
Beastars,,TV,1.0,,,2019-2019,,7.76
Tonikaku Kawaii: Joshikou-hen,,ONA,4.0,,,2023-2023,,7.76
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),,Movie,1.0,,,2007-2007,,7.76
Meitantei Conan Movie 24: Hiiro no Dangan,,Movie,1.0,,,2021-2021,,7.76
Bishoujo Senshi Sailor Moon Crystal Season III,,TV,1.0,,,2016-2016,,7.76
Lupin the Third: Mine Fujiko to Iu Onna,,TV,1.0,,,2012-2012,,7.76
Mahoutsukai no Yome Season 2,,TV,1.0,,,2023-2023,,7.76
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,,Movie,1.0,,,2005-2005,,7.76
Pokemon XY&Z,,TV,4.0,,,2015-2015,,7.76
Princess Connect! Re:Dive Season 2,,TV,1.0,,,2022-2022,,7.76
Ranma ½,,TV,1.0,,,1989-1989,,7.76
Saenai Heroine no Sodatekata ♭,,TV,1.0,,,2017-2017,,7.76
Saint Seiya,,TV,1.0,,,1986-1986,,7.76
Saint Seiya: Meiou Hades Meikai-hen,,OVA,1.0,,,2005-2005,,7.76
Saraiya Goyou,,TV,1.0,,,2010-2010,,7.76
Akagami no Shirayuki-hime,,TV,1.0,,,2015-2015,,7.76
Texhnolyze,,TV,2.0,,,2003-2003,,7.76
Aria the Crepuscolo,,Movie,1.0,,,2021-2021,,7.76
Lupin III vs. Meitantei Conan,,TV,,,,2009-2009,,7.76
Hibike! Euphonium Movie 3: Chikai no Finale,,Movie,1.0,,,2019-2019,,7.76
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,,TV,1.0,,,2023-2023,,7.76
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,,OVA,1.0,,,2017-2017,,7.76
Date A Live IV,,TV,1.0,,,2022-2022,,7.76
Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan,,TV,,,,2014-2014,,7.76
Gochuumon wa Usagi desu ka?? Sing for You,,OVA,1.0,,,2019-2019,,7.76
Love Live! School Idol Project 2nd Season,,TV,1.0,,,2014-2014,,7.76
Hidamari Sketch x SP,,TV,,,,2011-2011,,7.76
Seitokai Yakuindomo OVA,,OVA,8.0,,,2011-2011,,7.75
Given Movie 2: Hiiragi Mix,,Movie,1.0,,,2024-2024,,7.75
Kumichou Musume to Sewagakari,,TV,1.0,,,2022-2022,,7.75
Sekaiichi Hatsukoi: Valentine-hen,,Movie,1.0,,,2014-2014,,7.75
Maria-sama ga Miteru 4th,,TV,1.0,,,2009-2009,,7.75
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,,Movie,1.0,,,2023-2023,,7.75
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,,OVA,8.0,,,2016-2016,,7.75
Overlord II,,TV,1.0,,,2018-2018,,7.75
Meitantei Conan OVA 10: Kid in Trap Island,,OVA,1.0,,,2010-2010,,7.75
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,,Movie,1.0,,,2016-2016,,7.75
Lucky☆Star,,TV,2.0,,,2007-2007,,7.75
Gakuen Babysitters Special,,Special,1.0,,,2018-2018,,7.75
Kidou Senshi Gundam III: Meguriai Sora-hen,,Movie,1.0,,,1982-1982,,7.75
Tianbao Fuyao Lu 2nd Season,,ONA,1.0,,,2021-2021,,7.75
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,,Movie,1.0,,,2021-2021,,7.75
Gakkou no Kaidan,,TV,1.0,,,2000-2000,,7.75
Dragon Ball Kai,,TV,9.0,,,2009-2009,,7.75
Shiki Specials,,Special,2.0,,,2011-2011,,7.75
Charlotte,,TV,1.0,,,2015-2015,,7.75
Zan Sayonara Zetsubou Sensei Bangaichi,,OVA,2.0,,,2009-2009,,7.75
Bocchi the Rock! Movie,,Movie,2.0,,,2024-2024,,7.75
Kidou Senshi Gundam,,TV,4.0,,,1979-1979,,7.75
High Score Girl,,TV,1.0,,,2018-2018,,7.75
Higashi no Eden,,TV,1.0,,,2009-2009,,7.74
Free! Take Your Marks,,Movie,1.0,,,2017-2017,,7.74
Genshiken 2,,TV,1.0,,,2007-2007,,7.74
Ghost Hunt,,TV,2.0,,,2006-2006,,7.74
Golden Time,,TV,2.0,,,2013-2013,,7.74
Grisaia no Rakuen,,TV,1.0,,,2015-2015,,7.74
Taiyou no Ko Esteban,,TV,3.0,,,1982-1982,,7.74
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,,ONA,2.0,,,2023-2023,,7.74
InuYasha: Kuroi Tessaiga,,Special,1.0,,,2008-2008,,7.74
Shokugeki no Souma: Shin no Sara,,TV,1.0,,,2019-2019,,7.74
Fate/Grand Carnival,,OVA,4.0,,,2020-2020,,7.74
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,,Movie,1.0,,,2015-2015,,7.74
Udon no Kuni no Kiniro Kemari,,TV,1.0,,,2016-2016,,7.74
Watashi no Shiawase na Kekkon,,TV,1.0,,,2023-2023,,7.74
Fairy Tail,,TV,1.0,,,2009-2009,,7.74
Free! Movie 4: The Final Stroke - Zenpen,,Movie,1.0,,,2021-2021,,7.74
Gundam Build Fighters,,TV,2.0,,,2013-2013,,7.74
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,,TV,1.0,,,2022-2022,,7.74
Little Witch Academia: Mahoujikake no Parade,,Movie,1.0,,,2015-2015,,7.74
Colorful (Movie),,Movie,1.0,,,2010-2010,,7.74
Tokyo Ghoul,,TV,1.0,,,2014-2014,,7.74
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,,Movie,1.0,,,2005-2005,,7.74
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,,Movie,1.0,,,2016-2016,,7.74
Kuroko no Basket: Last Game NG-shuu,,Special,1.0,,,2017-2017,,7.74
Liang Bu Yi,,ONA,2.0,,,2021-2021,,7.74
Kidou Senshi Gundam SEED,,TV,5.0,,,2002-2002,,7.74
Mairimashita! Iruma-kun,,TV,2.0,,,2019-2019,,7.74
Bishoujo Senshi Sailor Moon Eternal Movie 2,,Movie,1.0,,,2021-2021,,7.74
Saiyuuki Reload: Burial,,OVA,3.0,,,2007-2007,,7.74
BanG Dream! Garupa☆Pico,,ONA,2.0,,,2018-2018,,7.74
Bishoujo Senshi Sailor Moon,,TV,4.0,,,1992-1992,,7.74
Ni Tian Xieshen,,ONA,3.0,,,2023-2023,,7.74
City Hunter '91,,TV,1.0,,,1991-1991,,7.74
Ranma ½ OVA,,OVA,6.0,,,1993-1993,,7.73
Aggressive Retsuko (ONA) 2nd Season,,ONA,1.0,,,2019-2019,,7.73
Ani ni Tsukeru Kusuri wa Nai! 2,,TV,2.0,,,2018-2018,,7.73
BanG Dream! Garupa☆Pico: Oomori,,ONA,2.0,,,2020-2020,,7.73
Bishoujo Senshi Sailor Moon R,,TV,4.0,,,1993-1993,,7.73
Claymore,,TV,2.0,,,2007-2007,,7.73
Black Jack,,OVA,1.0,,,1993-1993,,7.73
Change!! Getter Robo: Sekai Saigo no Hi,,OVA,1.0,,,1998-1998,,7.73
Panty & Stocking with Garterbelt,,TV,1.0,,,2010-2010,,7.73
Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang,,ONA,4.0,,,2023-2023,,7.73
Inazuma Eleven,,TV,1.0,,,2008-2008,,7.73
Pokemon: The Origin,,TV,,,,2013-2013,,7.73
Dragon Quest: Dai no Daibouken (2020),,TV,1.0,,,2020-2020,,7.73
Migi to Dali,,TV,1.0,,,2023-2023,,7.73
Zhu Xian 2nd Season,,ONA,2.0,,,2024-2024,,7.73
Meitantei Conan Movie 19: Gouka no Himawari,,Movie,1.0,,,2015-2015,,7.73
Shaman King,,TV,6.0,,,2001-2001,,7.73
Shin Kidou Senki Gundam Wing: Endless Waltz,,OVA,3.0,,,1997-1997,,7.73
Toshokan Sensou: Kakumei no Tsubasa,,Movie,1.0,,,2012-2012,,7.73
Tantei Gakuen Q,,TV,4.0,,,2003-2003,,7.73
JoJo no Kimyou na Bouken: Phantom Blood,,Movie,1.0,,,2007-2007,,7.73
Kageki Shoujo!!,,TV,1.0,,,2021-2021,,7.73
Kokoro Connect,,TV,1.0,,,2012-2012,,7.73
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,,Movie,1.0,,,2011-2011,,7.73
Master Keaton OVA,,OVA,1.0,,,1999-1999,,7.73
Karasu wa Aruji wo Erabanai,,TV,2.0,,,2024-2024,,7.72
Tonikaku Kawaii: Seifuku,,Special,1.0,,,2022-2022,,7.72
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,,Movie,1.0,,,2014-2014,,7.72
Ueki no Housoku,,TV,5.0,,,2005-2005,,7.72
Xingchen Bian 5th Season,,ONA,2.0,,,2022-2022,,7.72
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",,OVA,1.0,,,2023-2023,,7.72
Mujin Wakusei Survive,,TV,5.0,,,2003-2003,,7.72
Kidou Senshi Gundam SEED Freedom,,Movie,1.0,,,2024-2024,,7.72
Kyou kara Maou! 3rd Series,,TV,3.0,,,2008-2008,,7.72
Kyoukai no Kanata,,TV,1.0,,,2013-2013,,7.72
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,,Movie,1.0,,,2015-2015,,7.72
Slayers,,TV,2.0,,,1995-1995,,7.72
Neko no Ongaeshi,,Movie,1.0,,,2002-2002,,7.72
Tomodachi Game,,TV,1.0,,,2022-2022,,7.72
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,,Movie,1.0,,,2018-2018,,7.72
Sidonia no Kishi: Daikyuu Wakusei Seneki,,TV,1.0,,,2015-2015,,7.72
Free! Movie 3: Road to the World - Yume,,Movie,1.0,,,2019-2019,,7.72
BanG Dream! Movie: Episode of Roselia - I: Yakusoku,,Movie,1.0,,,2021-2021,,7.72
Boku no Kokoro no Yabai Yatsu: Twi-Yaba,,ONA,1.0,,,2023-2023,,7.72
Shiki,,TV,2.0,,,2010-2010,,7.72
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",,TV,1.0,,,2019-2019,,7.72
Fanren Xiu Xian Chuan,,ONA,1.0,,,2020-2020,,7.72
Da Zhu Zai Nian Fan,,ONA,5.0,,,2023-2023,,7.72
Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,,OVA,1.0,,,2014-2014,,7.72
Hataraku Maou-sama!,,TV,1.0,,,2013-2013,,7.72
Hibike! Euphonium: Ensemble Contest-hen,,Movie,1.0,,,2023-2023,,7.72
Hidamari Sketch x 365 Specials,,Special,3.0,,,2009-2009,,7.72
Isekai no Seikishi Monogatari,,OVA,1.0,,,2009-2009,,7.72
Bishoujo Senshi Sailor Moon R: The Movie,,Movie,1.0,,,1993-1993,,7.72
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,,Movie,1.0,,,2019-2019,,7.71
Jinrui wa Suitai Shimashita,,TV,1.0,,,2012-2012,,7.71
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",,Special,1.0,,,2017-2017,,7.71
Kuroko no Basket 2nd Season NG-shuu,,Special,9.0,,,2014-2014,,7.71
Monsters: Ippyaku Sanjou Hiryuu Jigoku,,ONA,1.0,,,2024-2024,,7.71
Ojamajo Doremi Dokkaan!,,TV,5.0,,,2002-2002,,7.71
Noragami OVA,,OVA,2.0,,,2014-2014,,7.71
Rozen Maiden: Ouvertüre,,TV,,,,2006-2006,,7.71
Enen no Shouboutai,,TV,2.0,,,2019-2019,,7.71
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",,OVA,1.0,,,2016-2016,,7.71
Summer Wars,,Movie,1.0,,,2009-2009,,7.71
Yamato Nadeshiko Shichihenge♥,,TV,2.0,,,2006-2006,,7.71
Ushiro no Shoumen Daare,,Movie,1.0,,,1991-1991,,7.71
Tsuki ga Michibiku Isekai Douchuu,,TV,1.0,,,2021-2021,,7.71
Tenshi no Tamago,,OVA,1.0,,,1985-1985,,7.71
Tegamibachi Reverse,,TV,2.0,,,2010-2010,,7.71
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",,TV,1.0,,,2016-2016,,7.71
Urusei Yatsura,,TV,1.0,,,1981-1981,,7.71
Doraemon (2005),,TV,,,,2005-2005,,7.71
Daicon Opening Animations,,Special,2.0,,,1981-1981,,7.71
Chi's Sweet Home: Atarashii Ouchi,,TV,1.0,,,2009-2009,,7.71
Berserk: Ougon Jidai-hen I - Haou no Tamago,,Movie,1.0,,,2012-2012,,7.71
BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,,ONA,2.0,,,2022-2022,,7.71
Death Note: Rewrite,,TV,,,,2007-2007,,7.71
Arakawa Under the Bridge x Bridge,,TV,1.0,,,2010-2010,,7.71
Haikyuu!! Lev Genzan!,,OVA,1.0,,,2015-2015,,7.7
BanG Dream! Film Live,,Movie,1.0,,,2019-2019,,7.7
BanG Dream! Garupa☆Pico Fever!,,ONA,2.0,,,2021-2021,,7.7
Break Blade Movie 2: Ketsubetsu no Michi,,Movie,1.0,,,2010-2010,,7.7
Chuunibyou demo Koi ga Shitai!,,TV,1.0,,,2012-2012,,7.7
